"Column.Name","Description","Variable.class","Variable.Range.Categories","Units","Number.missing"
"scientific_name_original",NA,"character","Abutilon sonneratianum - Zyrphelis microcephala",NA,0
"scientific_name_MG",NA,"character","Abutilon sonneratianum - Zyrphelis microcephala",NA,0
"family_MG",NA,"character","Acanthaceae - Zygophyllaceae",NA,0
"scientific_name_WFO",NA,"character","Abutilon sonneratianum - Zyrphelis microcephala",NA,0
"scientific_name_authorship_WFO",NA,"character","(A.DC.) E.Wimm. - Wolley-Dod",NA,2
"family_WFO",NA,"character","Acanthaceae - Zygophyllaceae",NA,0
"perennial",NA,"numeric","0 - 1",NA,0
"annual",NA,"numeric","0 - 1",NA,0
"monoecious",NA,"numeric","0 - 1",NA,0
"dioecious",NA,"numeric","0 - 1",NA,0
"evergreen",NA,"numeric","0 - 1",NA,101
"deciduous",NA,"numeric","0 - 1",NA,101
"seasonally_apparent",NA,"numeric","0 - 1",NA,0
"seasonally_identifiable",NA,"numeric","0 - 1",NA,0
"flower_postfire",NA,"numeric","0 - 1",NA,1
"resprout_postfire",NA,"numeric","0 - 1",NA,0
"serotinous",NA,"numeric","0 - 1",NA,0
"flower_begin",NA,"character","All year - Sep",NA,182
"flower_end",NA,"character","Apr - Sep",NA,204
"flower_begin_alt",NA,"character","Aug - Sep",NA,2217
"flower_end_alt",NA,"character","Apr - Nov",NA,2221
"max_height_cm",NA,"numeric","1 - 3000",NA,0
"herb",NA,"numeric","0 - 1",NA,0
"geophyte",NA,"numeric","0 - 1",NA,0
"graminoid",NA,"numeric","0 - 1",NA,0
"low_shrub",NA,"numeric","0 - 1",NA,0
"mid_shrub",NA,"numeric","0 - 1",NA,0
"tall_shrub",NA,"numeric","0 - 1",NA,0
"tree",NA,"numeric","0 - 1",NA,0
"scrambler",NA,"numeric","0 - 1",NA,0
"liana",NA,"numeric","0 - 1",NA,0
"hemiparasite",NA,"numeric","0 - 1",NA,0
"parasite",NA,"numeric","0 - 1",NA,0
"missing_growthform_class",NA,"numeric","0 - 1",NA,1
"succulent",NA,"numeric","0 - 1",NA,0
"leaf_succulent",NA,"numeric","0 - 1",NA,0
"stem_succulent",NA,"numeric","0 - 1",NA,0
"other_succulent",NA,"numeric","0 - 1",NA,1
"lvs_linear",NA,"numeric","0 - 1",NA,0
"lvs_shape_other",NA,"numeric","0 - 1",NA,0
"lvs_oval",NA,"numeric","0 - 1",NA,0
"lvs_compound",NA,"numeric","0 - 1",NA,0
"lvs_lobed",NA,"numeric","0 - 1",NA,1
"lvs_dissected",NA,"numeric","0 - 1",NA,3
"leaf_length",NA,"numeric","0.1 - 160.84",NA,698
"virtually_no_leaves",NA,"numeric","0 - 1",NA,0
"stems_photosynthetic",NA,"numeric","0 - 1",NA,0
"functional_leaf",NA,"character","culm_stem - none",NA,0
"plant_longevity",NA,"numeric","0 - 3",NA,0
"flammability",NA,"character","h - m",NA,0
"pollination",NA,"character","b - w",NA,0
"dispersal",NA,"character","i - w",NA,0
"lvs_frond",NA,"numeric","0 - 1",NA,1
"lvs_cladode",NA,"numeric","0 - 1",NA,1
"lvs_phyllode",NA,"numeric","0 - 1",NA,1
"lvs_microphyll",NA,"numeric","0 - 1",NA,1
